f_min,f_max,c_min,c_max,n_min,n_max,target_delay_min,target_delay_max,delay,min_rtt
48.484848484848484,48.484848484848484,48.484848484848484,48.484848484848484,1,1.5,0.05,0.07500000000000001,0.125863,0.05
70.2576112412178,70.2576112412178,70.2576112412178,70.2576112412178,1,1.5,0.05,0.07500000000000001,0.386205,0.05
129.03225806451613,70.2576112412178,nan,nan,nan,nan,nan,nan,0.284033,0.05
105.88235294117646,70.2576112412178,nan,nan,nan,nan,nan,nan,0.07227,0.05
102.0408163265306,70.2576112412178,nan,nan,nan,nan,nan,nan,0.014777,0.05
85.71428571428571,85.71428571428571,85.7142857142857,85.7142857142857,1,0.9999999999999999,0.05,0.049999999999999996,0.028224,0.05
73.91304347826086,73.91304347826086,73.91304347826085,73.91304347826085,1,0.9999999999999998,0.05,0.04999999999999999,0.184117,0.05
102.0408163265306,135.0210970464135,135.02109704641353,165.22892711151547,1.0000000000000002,1.6192434856928517,0.05000000000000002,0.08096217428464259,0.44849,0.05
156,135.0210970464135,nan,nan,nan,nan,nan,nan,0.224041,0.05
132.5301204819277,135.0210970464135,nan,nan,nan,nan,nan,nan,0.066474,0.05
126.98412698412699,135.0210970464135,nan,nan,nan,nan,nan,nan,0.024066,0.05
112.14953271028038,112.14953271028038,112.14953271028037,112.14953271028037,1,0.9999999999999999,0.05,0.049999999999999996,0.06444,0.05
113.14984709480122,113.14984709480122,113.14984709480119,113.14984709480119,1,0.9999999999999998,0.05,0.04999999999999999,0.28279,0.05
126.98412698412699,129.0983606557377,129.09836065573768,132.7283985693549,1,1.04523613873367,0.05,0.0522618069366835,0.4818,0.05
122.34042553191489,129.0983606557377,nan,nan,nan,nan,nan,nan,0.167356,0.05
85.71428571428571,129.0983606557377,nan,nan,nan,nan,nan,nan,0.055937,0.05
65.21739130434783,65.21739130434783,65.21739130434777,65.21739130434777,1,0.9999999999999991,0.05,0.04999999999999996,0.054824,0.05
54.85232067510549,54.85232067510549,54.85232067510549,54.85232067510549,1,1.5,0.05,0.07500000000000001,0.201193,0.05
68.13186813186813,68.13186813186813,68.13186813186813,68.13186813186813,1,1.5,0.05,0.07500000000000001,0.4194,0.05
95.0413223140496,68.13186813186813,nan,nan,nan,nan,nan,nan,0.226779,0.05
76.92307692307692,68.13186813186813,nan,nan,nan,nan,nan,nan,0.072772,0.05
66.66666666666667,68.13186813186813,nan,nan,nan,nan,nan,nan,0.024045,0.05
49.01960784313726,49.01960784313726,49.01960784313725,49.01960784313725,1,0.9999999999999999,0.05,0.049999999999999996,0.065539,0.05
42.04204204204204,42.04204204204204,42.04204204204204,42.04204204204204,1,1.5,0.05,0.07500000000000001,0.299711,0.05
66.66666666666667,78.48101265822784,78.48101265822785,129.76703569114608,1.0000000000000002,1.946505535367191,0.05000000000000002,0.09732527676835956,0.407526,0.05
89.4308943089431,78.48101265822784,nan,nan,nan,nan,nan,nan,0.149139,0.05
53.57142857142857,78.48101265822784,nan,nan,nan,nan,nan,nan,0.035039,0.05
35.08771929824561,35.08771929824561,35.08771929824561,35.08771929824561,1,1.5,0.05,0.07500000000000001,0.029471,0.05
27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,1,1.5,0.05,0.07500000000000001,0.216794,0.05
53.57142857142857,53.719008264462815,53.71900826446282,53.941308305717946,1.0000000000000002,1.006904421706735,0.05000000000000002,0.05034522108533676,0.457453,0.05
69.93006993006993,53.719008264462815,nan,nan,nan,nan,nan,nan,0.2658,0.05
59.52380952380952,53.719008264462815,nan,nan,nan,nan,nan,nan,0.10247,0.05
44.11764705882353,53.719008264462815,nan,nan,nan,nan,nan,nan,0.052947,0.05
31.088082901554404,31.088082901554404,31.0880829015544,31.0880829015544,1,0.9999999999999999,0.05,0.049999999999999996,0.162165,0.05
40.16064257028113,40.16064257028113,40.160642570281134,40.160642570281134,1.0000000000000002,1.5000000000000002,0.05000000000000002,0.07500000000000001,0.470571,0.05
82.38636363636364,40.16064257028113,nan,nan,nan,nan,nan,nan,0.341992,0.05
68.62745098039215,40.16064257028113,nan,nan,nan,nan,nan,nan,0.094034,0.05
61.224489795918366,40.16064257028113,nan,nan,nan,nan,nan,nan,0.028251,0.05
40.816326530612244,40.816326530612244,40.81632653061225,40.81632653061225,1.0000000000000002,1.5000000000000002,0.05000000000000002,0.07500000000000001,0.061988,0.05
31.79190751445087,31.79190751445087,31.79190751445087,31.79190751445087,1,1.5,0.05,0.07500000000000001,0.318714,0.05
61.224489795918366,63.457330415754925,63.4573304157549,70.33751454097009,1,1.1488460708358448,0.05,0.05744230354179224,0.478427,0.05
82.27848101265823,63.457330415754925,nan,nan,nan,nan,nan,nan,0.175962,0.05
38.46153846153846,63.457330415754925,nan,nan,nan,nan,nan,nan,0.062934,0.05
25.423728813559322,25.423728813559322,25.423728813559322,25.423728813559322,1,1.5,0.05,0.07500000000000001,0.101735,0.05
19.693654266958422,19.693654266958422,19.693654266958422,19.693654266958422,1,1.5,0.05,0.07500000000000001,0.437844,0.05
47.02970297029702,19.693654266958422,nan,nan,nan,nan,nan,nan,0.44411,0.05
