time,event,cwnd
2576471000,"""ProbeDrain""",28.00
2576772000,"""ProbeUpdate""",28.00
2598902000,"""ProbeGain""",54.00
2599690000,"""ProbeDrain""",28.00
2599992000,"""ProbeUpdate""",28.00
2622464000,"""ProbeGain""",55.00
2623258000,"""ProbeDrain""",28.00
2623571000,"""ProbeUpdate""",28.00
2646240000,"""ProbeGain""",55.00
2647032000,"""ProbeDrain""",28.00
2647342000,"""ProbeUpdate""",27.00
2669732000,"""ProbeGain""",51.00
2670515000,"""ProbeDrain""",27.00
2670801000,"""ProbeUpdate""",27.00
2693224000,"""ProbeGain""",51.00
2694010000,"""ProbeDrain""",27.00
2694300000,"""ProbeUpdate""",27.00
2716751000,"""ProbeGain""",52.00
2717537000,"""ProbeDrain""",27.00
2717829000,"""ProbeUpdate""",27.00
2740294000,"""ProbeGain""",51.00
2741078000,"""ProbeDrain""",27.00
2741363000,"""ProbeUpdate""",27.00
2763860000,"""ProbeGain""",40.00
2764641000,"""ProbeDrain""",27.00
2764848000,"""ProbeUpdate""",27.00
2786833000,"""ProbeGain""",66.00
2787720000,"""ProbeDrain""",27.00
2787987000,"""ProbeUpdate""",26.00
2809143000,"""ProbeGain""",45.00
2809908000,"""ProbeDrain""",26.00
2810235000,"""ProbeUpdate""",28.00
2832327000,"""ProbeGain""",54.00
2833116000,"""ProbeDrain""",28.00
2833418000,"""ProbeUpdate""",28.00
2855617000,"""ProbeGain""",55.00
2856410000,"""ProbeDrain""",28.00
2856721000,"""ProbeUpdate""",27.00
2879127000,"""ProbeGain""",52.00
2879914000,"""ProbeDrain""",27.00
2880211000,"""ProbeUpdate""",27.00
2902953000,"""ProbeGain""",52.00
2903742000,"""ProbeDrain""",27.00
2904041000,"""ProbeUpdate""",27.00
2926648000,"""ProbeGain""",52.00
2927436000,"""ProbeDrain""",27.00
2927735000,"""ProbeUpdate""",27.00
2950313000,"""ProbeGain""",52.00
2951101000,"""ProbeDrain""",27.00
2951398000,"""ProbeUpdate""",27.00
2973932000,"""ProbeGain""",52.00
2974716000,"""ProbeDrain""",27.00
2975008000,"""ProbeUpdate""",27.00
2997458000,"""ProbeGain""",51.00
2998244000,"""ProbeDrain""",27.00
2998534000,"""ProbeUpdate""",27.00
3020972000,"""ProbeGain""",49.00
3021751000,"""ProbeDrain""",27.00
3022025000,"""ProbeUpdate""",27.00
3044249000,"""ProbeGain""",72.00
3045011000,"""ProbeDrain""",27.00
3045440000,"""ProbeUpdate""",29.00
3067940000,"""ProbeGain""",60.00
3068944000,"""ProbeDrain""",29.00
3069316000,"""ProbeUpdate""",24.00
3092067000,"""ProbeGain""",50.00
3092870000,"""ProbeDrain""",24.00
3093209000,"""ProbeUpdate""",23.00
3115891000,"""ProbeGain""",44.00
3116672000,"""ProbeDrain""",23.00
3116953000,"""ProbeUpdate""",24.00
3139625000,"""ProbeGain""",49.00
3140427000,"""ProbeDrain""",24.00
3140753000,"""ProbeUpdate""",24.00
3163874000,"""ProbeGain""",48.00
3164667000,"""ProbeDrain""",24.00
3164977000,"""ProbeUpdate""",24.00
3187672000,"""ProbeGain""",46.00
3188460000,"""ProbeDrain""",24.00
3188745000,"""ProbeUpdate""",25.00
3211532000,"""ProbeGain""",48.00
3212323000,"""ProbeDrain""",25.00
3212614000,"""ProbeUpdate""",25.00
3235210000,"""ProbeGain""",48.00
3235997000,"""ProbeDrain""",25.00
3236285000,"""ProbeUpdate""",25.00
3258966000,"""ProbeGain""",47.00
3259748000,"""ProbeDrain""",25.00
3260029000,"""ProbeUpdate""",26.00
3282838000,"""ProbeGain""",50.00
3283623000,"""ProbeDrain""",26.00
3283917000,"""ProbeUpdate""",26.00
3306531000,"""ProbeGain""",48.00
3307308000,"""ProbeDrain""",26.00
3307588000,"""ProbeUpdate""",27.00
3330216000,"""ProbeGain""",38.00
3330974000,"""ProbeDrain""",27.00
3331195000,"""ProbeUpdate""",36.00
3355321000,"""ProbeGain""",89.00
3356457000,"""ProbeDrain""",36.00
3357067000,"""ProbeUpdate""",28.00
3379455000,"""ProbeGain""",53.00
3380238000,"""ProbeDrain""",28.00
3380529000,"""ProbeUpdate""",28.00
3402835000,"""ProbeGain""",54.00
3403622000,"""ProbeDrain""",28.00
3403919000,"""ProbeUpdate""",28.00
3426197000,"""ProbeGain""",56.00
3426993000,"""ProbeDrain""",28.00
3427315000,"""ProbeUpdate""",27.00
3449889000,"""ProbeGain""",52.00
3450678000,"""ProbeDrain""",27.00
3450976000,"""ProbeUpdate""",27.00
3473483000,"""ProbeGain""",52.00
3474268000,"""ProbeDrain""",27.00
3474564000,"""ProbeUpdate""",27.00
3497054000,"""ProbeGain""",52.00
3497840000,"""ProbeDrain""",27.00
3498137000,"""ProbeUpdate""",27.00
3520596000,"""ProbeGain""",52.00
3521383000,"""ProbeDrain""",27.00
3521676000,"""ProbeUpdate""",27.00
3544128000,"""ProbeGain""",51.00
3544915000,"""ProbeDrain""",27.00
3545204000,"""ProbeUpdate""",27.00
3567661000,"""ProbeGain""",49.00
